instance,cls,method,width,eps_bar,rel_width,coverage
int__tai20_15_02,20_15,EST,1.4,9.9962,,1.0000
int__tai20_15_02,20_15,GT-MWKR,1.0,6.8841,15.7609,1.0000
int__tai20_15_02,20_15,GT-MWKR,1.2,8.2828,,1.0000
int__tai20_15_02,20_15,GT-MWKR,1.4,9.4009,,1.0000
int__tai20_15_02,20_15,GP-nowidth,1.0,7.5846,12.1999,1.0000
int__tai20_15_02,20_15,GP-nowidth,1.2,8.6697,,1.0000
int__tai20_15_02,20_15,GP-nowidth,1.4,10.2042,,1.0000
int__tai20_15_02,20_15,GP-rob1,1.0,5.1866,10.1228,1.0000
int__tai20_15_02,20_15,GP-rob1,1.2,6.5577,,1.0000
int__tai20_15_02,20_15,GP-rob1,1.4,7.4322,,1.0000
int__tai20_15_02,20_15,GP-rob1-nw,1.0,6.2510,12.4228,1.0000
int__tai20_15_02,20_15,GP-rob1-nw,1.2,7.4284,,1.0000
int__tai20_15_02,20_15,GP-rob1-nw,1.4,8.4939,,1.0000
int__tai20_15_02,20_15,GP-rob4,1.0,4.8549,9.0909,1.0000
int__tai20_15_02,20_15,GP-rob4,1.2,5.5618,,1.0000
int__tai20_15_02,20_15,GP-rob4,1.4,6.6404,,1.0000
int__tai20_15_03,20_15,GP,1.0,7.7243,14.7978,1.0000
int__tai20_15_03,20_15,GP,1.2,8.6808,,1.0000
int__tai20_15_03,20_15,GP,1.4,9.8046,,1.0000
int__tai20_15_03,20_15,EST,1.0,6.2987,13.3457,1.0000
int__tai20_15_03,20_15,EST,1.2,7.5780,,1.0000
int__tai20_15_03,20_15,EST,1.4,8.3407,,1.0000
int__tai20_15_03,20_15,GT-MWKR,1.0,8.0839,16.1432,1.0000
int__tai20_15_03,20_15,GT-MWKR,1.2,9.8178,,1.0000
int__tai20_15_03,20_15,GT-MWKR,1.4,10.8945,,1.0000
int__tai20_15_03,20_15,GP-nowidth,1.0,6.4290,12.9235,1.0000
int__tai20_15_03,20_15,GP-nowidth,1.2,7.9538,,1.0000
int__tai20_15_03,20_15,GP-nowidth,1.4,9.1415,,1.0000
